"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Nationalist Social Club (NSC-131)","","Connecticut","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Maine","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","New Hampshire","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Rhode Island","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Massachusetts","Nationalist Social Club (NSC-131)","Neo-Nazi","Yes","Yes","2022"
"NatSoc Florida","","Florida","","Neo-Nazi","","Yes","2022"
"Natural Law Hawaii","","Hawaii","","","","Yes","2022"
"Natural News","Cody","Wyoming","","","","","2022"
"Nebraska Parents Involved in Education","","Nebraska","","","","Yes","2022"
"Nevada Parents Involved in Education","","Nevada","","","","Yes","2022"
"New Black Panther Party","Houston","Texas","New Black Panther Party","General Hate ","Yes","","2022"
"New California State","Yuba City","California","","","Yes","","2022"
"New Columbia Movement","Dallas","Texas","","White Nationalist ","","","2022"
"New Columbia Movement","La Plume Twp","Pennsylvania","","White Nationalist ","Yes","","2022"
"New England Minutemen","","New Hampshire","","","Yes","Yes","2022"
"New Hampshire Parents Involved in Education","","New Hampshire","","","","Yes","2022"
"New Jersey European Heritage Association","","New Jersey","","White Nationalist ","Yes","Yes","2022"
"New Jersey Parents Involved in Education","","New Jersey","","","","Yes","2022"
"New Mexico Parents Involved in Education","","New Mexico","","","","Yes","2022"
"New Order","Milwaukee","Wisconsin","","Neo-Nazi","Yes","","2022"
"New York Militia TM","Broadalbin","New York","","","","","2022"
"New York Militia TM","Tillson","New York","","","","","2022"
"New York Militia TM","Schaghticoke","New York","","","Yes","","2022"
"New York Parents Involved in Education","","New York","","","","Yes","2022"
"News With Views","","Texas","","","","Yes","2022"
"Next News Network","Northbrook","Illinois","","","","","2022"
"No Left Turn in Education","Gladwyne","Pennsylvania","","","Yes","","2022"
"North Carolina Moms for America","","North Carolina","","","","Yes","2022"
"North Carolina Parents Involved in Education","","North Carolina","","","","Yes","2022"
"North Carolinians for Immigration Reform and Enforcement","Wade","North Carolina","","Anti-Immigrant","","","2022"
"North Dakota Parents Involved in Education","","North Dakota","","","","Yes","2022"
"North East Ohio Woodsmen","East Rochester","Ohio","","","Yes","","2022"
"Northern Illinois Moms for America","","Illinois","","","","Yes","2022"
"Northwest Front","Seattle","Washington","","White Nationalist ","Yes","","2022"
"Northwest Hammerskins","","Idaho","","Racist Skinhead ","","Yes","2022"
"Norwich Chapter","Norwich","Connecticut","","","","","2022"
"Now the End Begins","Jacksonville","Florida","","","","","2022"
"NS Publications","Wyandotte","Michigan","","Neo-Nazi","","","2022"
"NSDAP","","Florida","","Neo-Nazi","","Yes","2022"
"Oath Keepers","Bedford","Virginia","Oath Keepers","","","","2022"
"Oath Keepers","Fredericksburg","Virginia","Oath Keepers","","","","2022"
"Oath Keepers","Zuni","Virginia","Oath Keepers","","","","2022"
"Oath Keepers","Blackstone","Virginia","Oath Keepers","","","","2022"
"Oath Keepers","Wakefield","Virginia","Oath Keepers","","","","2022"
"Oath Keepers","Las Vegas","Nevada","Oath Keepers","","Yes","","2022"
"Oath Keepers","","Arizona","Oath Keepers","","","Yes","2022"
"Oath Keepers","","Texas","Oath Keepers","","","Yes","2022"
"Oath Keepers","","Utah","Oath Keepers","","","Yes","2022"
"Oath Keepers - Yavapai County Preparedness Team","Chino Valley","Arizona","Oath Keepers","","","","2022"
"Oath Keepers of Pennsylvania","","Pennsylvania","Oath Keepers","","","Yes","2022"
"Occidental Dissent","Eufaula","Alabama","","White Nationalist ","Yes","","2022"
"Occidental Observer","Medford","Oregon","","White Nationalist ","Yes","","2022"
"Occidental Quarterly/Charles Martel Society","Atlanta","Georgia","Occidental Quarterly","White Nationalist ","Yes","","2022"
"Occupied Forces Hawaii Army","","Hawaii","","","Yes","Yes","2022"
"Official Street Preachers","Los Angeles","California","","General Hate ","Yes","","2022"
"Ohio Defense Force Home Guard","New Lexington","Ohio","","","","","2022"
"Ohio Defense Force Home Guard","Zanesville","Ohio","","","Yes","","2022"
"Ohio Militiamen","","Ohio","","","Yes","Yes","2022"
"Ohio Minutemen Militia","Oak Harbor","Ohio","","","Yes","","2022"
"Ohio Parents Involved in Education","","Ohio","","","","Yes","2022"
"Ohio Patriots Alliance","Newark","Ohio","","","Yes","","2022"
"Oklahoma Moms For America","","Oklahoma","","","","Yes","2022"
"Oklahoma Parents Involved in Education","","Oklahoma","","","","Yes","2022"
"Old Glory Knights of the Ku Klux Klan","Santa Fe","Tennessee","","Ku Klux Klan ","Yes","","2022"
"OneBody in Yahawashi","Dallas","Texas","","General Hate ","Yes","","2022"
"Oregon Parents Involved in Education","","Oregon","","","","Yes","2022"
"Oregon Statewide Jural Assembly","Beaverton","Oregon","","","Yes","","2022"
"Oregonians for Immigration Reform","Salem","Oregon","","Anti-Immigrant","Yes","","2022"
"Overpasses for America","","Illinois","","","","Yes","2022"
"Pacific Justice Institute","Sacramento","Florida","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Reno","Nevada","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Salem","Oregon","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Seattle","Washington","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Sacramento","California","Pacific Justice Institute","Anti-LGBTQ","Yes","","2022"
"Pacific Justice Institute, Orange County Office","Santa Ana","California","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Palm Beach County Moms for America","","Florida","","","","Yes","2022"
"Panhandle Patriots Riding Club","","Idaho","","","Yes","Yes","2022"
"Parents Against Critical Race Theory LLC","Ashburn","Virginia","","","Yes","","2022"
"Parents Defending Education","Arlington","Virginia","","","Yes","","2022"
"Parents' Rights in Education - Alaska","","Alaska","","","","Yes","2022"
"Parents' Rights in Education - Arizona","","Arizona","","","","Yes","2022"
"Parents' Rights in Education - Idaho","","Idaho","","","","Yes","2022"
"Parents' Rights in Education - Illinois","","Illinois","","","","Yes","2022"
"Parents' Rights in Education - Maine","","Maine","","","","Yes","2022"
"Parents' Rights in Education - Montana","","Montana","","","","Yes","2022"
"Parents' Rights in Education - Ohio","","Ohio","","","","Yes","2022"
"Parents' Rights in Education - Oregon","","Oregon","","","","Yes","2022"
"Parents' Rights in Education - Texas","","Texas","","","","Yes","2022"
"Parents' Rights in Education - Virginia","","Virginia","","","","Yes","2022"
"Parents' Rights in Education - Washington State","","Washington","","","","Yes","2022"
"Parents' Rights in Education - Wisconsin","","Wisconsin","","","","Yes","2022"
"Pass the Salt Ministries","Hebron","Ohio","","Anti-LGBTQ","Yes","","2022"
"Patriot America","Middletown","Ohio","","","Yes","","2022"
"Patriot Front","Washington","District of Columbia","Patriot Front","White Nationalist ","","","2022"
"Patriot Front","","Alabama","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Arizona","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Arkansas","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","California","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Colorado","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Connecticut","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Delaware","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Florida","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Georgia","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Idaho","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Illinois","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Indiana","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Iowa","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Kansas","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Kentucky","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Louisiana","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Maine","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Maryland","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Massachusetts","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Michigan","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Minnesota","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Mississippi","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Missouri","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Nebraska","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Nevada","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Hampshire","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Jersey","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Mexico","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New York","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","North Carolina","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Ohio","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Oklahoma","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Oregon","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Pennsylvania","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Rhode Island","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","South Carolina","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","South Dakota","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Tennessee","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Utah","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Vermont","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Virginia","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Washington","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","West Virginia","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Wisconsin","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Wyoming","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Texas","Patriot Front","White Nationalist ","Yes","Yes","2022"
"Patriot Front North Dakota","","North Dakota","","White Nationalist ","","Yes","2022"
"Patriot Party of AZ","Glendale","Arizona","","","Yes","","2022"
"Patriot Shit Outfitters","Bethel","Ohio","","","Yes","","2022"
"Patriotic Dissent Books","","New Jersey","","Neo-Nazi","Yes","Yes","2022"
"Patriotic Flags","Summerville","South Carolina","","White Nationalist ","Yes","","2022"
"Patriots for America","Dallas","Texas","","","Yes","","2022"
"Patriots for Delaware","Georgetown","Delaware","","","Yes","","2022"
"Patriots for Ohio","Marysville","Ohio","","","Yes","","2022"
"Pennsylvania Active Club","","Pennsylvania","","White Nationalist ","","Yes","2022"
"Pennsylvania Light Foot Militia","","Pennsylvania","","","","Yes","2022"
"Pennsylvania Oath Keepers","Lake City","Pennsylvania","","","Yes","","2022"
"Pennsylvania Parents Involved in Education","","Pennsylvania","","","","Yes","2022"
"Pennsylvania Patriots United","Oley","Pennsylvania","","","Yes","","2022"
"Pennsylvania Volunteer Militia","Duncansville","Pennsylvania","","","Yes","","2022"
"People's Rights","Southern","California","","","","","2022"
"People's Rights","Central","Oregon","","","","","2022"
"People's Rights","Emmett","Idaho","","","Yes","","2022"
"People's Rights","","Arizona","","","","Yes","2022"
"People's Rights","","Florida","","","","Yes","2022"
"People's Rights","","Oregon","","","","Yes","2022"
"People's Rights","","Utah","","","","Yes","2022"
"People's Rights","","Washington","","","","Yes","2022"
"People’s Bureau of Investigation","Oswego","Illinois","","","Yes","","2022"
"Pilgrims Covenant Church","Monroe","Wisconsin","","Anti-LGBTQ","Yes","","2022"
"Political Islam","Nashville","Tennessee","","Anti-Muslim","Yes","","2022"
"Polk County Moms for America","City of Winter Haven","Florida","","","","","2022"
"Power of Prophecy","Spicewood","Texas","","General Hate ","Yes","","2022"
"Probe Ministries","Plano","Texas","","Anti-LGBTQ","Yes","","2022"
"ProEnglish","Washington","District of Columbia","","Anti-Immigrant","Yes","","2022"
"Protect America Now","Tempe","Arizona","","","Yes","","2022"
"Protect Texas Kids","Dennison","Texas","","General Hate ","Yes","","2022"
"Proud American Patriots Network","Jamison","Pennsylvania","","","Yes","","2022"
"Proud Boys","Bakersfield","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Chico","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Fresno","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Los Angeles","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Modesto","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Placerville","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Sacramento","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","San Francisco","California","Proud Boys","General Hate ","","","2022"
"Proud Boys","Fort Myers","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Jacksonville","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Miami","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Orlando","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Pensacola","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Sarasota","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Tampa","Florida","Proud Boys","General Hate ","","","2022"
"Proud Boys","Chicago","Illinois","Proud Boys","General Hate ","","","2022"
"Proud Boys","Crystal Lake","Illinois","Proud Boys","General Hate ","","","2022"
"Proud Boys","Fort Wayne","Indiana","Proud Boys","General Hate ","","","2022"
"Proud Boys","Indianapolis","Indiana","Proud Boys","General Hate ","","","2022"
"Proud Boys","Camdenton","Missouri","Proud Boys","General Hate ","","","2022"
"Proud Boys","Kansas City","Missouri","Proud Boys","General Hate ","","","2022"
"Proud Boys","St. Louis","Missouri","Proud Boys","General Hate ","","","2022"
"Proud Boys","Las Vegas","Nevada","Proud Boys","General Hate ","","","2022"
"Proud Boys","Reno","Nevada","Proud Boys","General Hate ","","","2022"
"Proud Boys","","New Jersey","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","New York","New York","Proud Boys","General Hate ","","","2022"
"Proud Boys","Rockville Centre","New York","Proud Boys","General Hate ","","","2022"
"Proud Boys","Charlotte","North Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Fayetteville","North Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Raleigh","North Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Wilmington","North Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Akron","Ohio","Proud Boys","General Hate ","","","2022"
"Proud Boys","Cincinnati","Ohio","Proud Boys","General Hate ","","","2022"
"Proud Boys","Columbus","Ohio","Proud Boys","General Hate ","","","2022"
"Proud Boys","Toledo","Ohio","Proud Boys","General Hate ","","","2022"
"Proud Boys","Eugene","Oregon","Proud Boys","General Hate ","","","2022"
"Proud Boys","Portland","Oregon","Proud Boys","General Hate ","","","2022"
"Proud Boys","Salem","Oregon","Proud Boys","General Hate ","","","2022"
"Proud Boys","Philadelphia","Pennsylvania","Proud Boys","General Hate ","","","2022"
"Proud Boys","State College","Pennsylvania","Proud Boys","General Hate ","","","2022"
"Proud Boys","Charleston","South Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Greenville","South Carolina","Proud Boys","General Hate ","","","2022"
"Proud Boys","Memphis","Tennessee","Proud Boys","General Hate ","","","2022"
"Proud Boys","Nashville","Tennessee","Proud Boys","General Hate ","","","2022"
"Proud Boys","Dallas","Texas","Proud Boys","General Hate ","","","2022"
"Proud Boys","Houston","Texas","Proud Boys","General Hate ","","","2022"
"Proud Boys","Port Arthur","Texas","Proud Boys","General Hate ","","","2022"
"Proud Boys","San Antonio","Texas","Proud Boys","General Hate ","","","2022"
"Proud Boys","Olympia","Washington","Proud Boys","General Hate ","","","2022"
"Proud Boys","Seattle","Washington","Proud Boys","General Hate ","","","2022"
"Proud Boys","Spokane","Washington","Proud Boys","General Hate ","","","2022"
"Proud Boys","","Arizona","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Colorado","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Connecticut","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Georgia","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Hawaii","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Idaho","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Kansas","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Kentucky","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Maine","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Maryland","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Massachusetts","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Michigan","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Minnesota","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Montana","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Nebraska","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","New Hampshire","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","Albany","New York","Proud Boys","General Hate ","","","2022"
"Proud Boys","","North Dakota","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Oklahoma","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Rhode Island","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","South Dakota","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Utah","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Virginia","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","West Virginia","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Wisconsin","Proud Boys","General Hate ","","Yes","2022"
"Proud Boys","","Wyoming","Proud Boys","General Hate ","","Yes","2022"
"Public Advocate of the United States","Merrifield","Virginia","","Anti-LGBTQ","Yes","","2022"
"Purple for Parents Indiana","Town of Winona Lake","Indiana","","","Yes","","2022"
"PzG Inc.","Rapid City","South Dakota","","Neo-Nazi","","","2022"
"R.V. Bey Publications","Pleasantville","New Jersey","","","Yes","","2022"
"Racial Nationalist Party of America","Lockport","New York","","White Nationalist ","Yes","","2022"
"Radio Jihad/Global Patriot Radio","New York County","New York","","Anti-Muslim","Yes","","2022"
"Radix Journal","Whitefish","Montana","","White Nationalist ","Yes","","2022"
"RAIR Foundation USA","Fishkill","New York","","General Hate ","Yes","","2022"
"Reawaken America","Collinsville","Oklahoma","","","Yes","","2022"
"Red Ice","Harrisonburg","Virginia","","White Nationalist ","Yes","","2022"
"Red Voice Media","Scottsdale","Arizona","","","Yes","","2022"
"Redoubt News","Priest River","Idaho","","","Yes","","2022"
"Refugee Resettlement Watch","Fairplay","Maryland","","Anti-Muslim","Yes","","2022"
"Reign of the Heavens Society","Ontario","California","","","","","2022"
"Reign of the Heavens Society","","Indiana","","","","Yes","2022"
"Reign of the Heavens Society","","Iowa","","","","Yes","2022"
"Reign of the Heavens Society","","Florida","","","Yes","Yes","2022"
"Renaissance Horizon","Summerville","South Carolina","","White Nationalist ","Yes","","2022"
"Renew America","Provo","Utah","","","Yes","","2022"
"Rense Radio Network","Ashland","Oregon","","General Hate ","Yes","","2022"
"Republic Broadcasting","Round Rock","Texas","","","","","2022"
"Republic for the united States of America","Dothan","Alabama","","","","","2022"
"Republic for the united States of America - De Jure California Republic","Fullerton","California","","","","","2022"
"Republic of Texas","Bastrop County","Texas","","","","","2022"
"Respect Washington","Burien","Washington","","Anti-Immigrant","Yes","","2022"
"Revival Baptist Church","Jacksonville","Florida","","Anti-LGBTQ","","","2022"
"Revival Baptist Church","Clermont","Florida","","Anti-LGBTQ","Yes","","2022"
"Revolt Through Tradition","","New Hampshire","","White Nationalist ","Yes","Yes","2022"
"Revolutionary Black Panther Party","Louisville","Kentucky","","General Hate ","","","2022"
"Rhode Island Parents Involved in Education","","Rhode Island","","","","Yes","2022"
"Rhode Island Patriots","","Rhode Island","","","Yes","Yes","2022"
"Riders United for a Sovereign America, Corp.","Tempe","Arizona","","","Yes","","2022"
"Righteous Army","Miami","Massachusetts","","","Yes","","2022"
"Rise of the Moors","Pawtucket","Rhode Island","","","Yes","","2022"
"Rooshv.com","","Maryland","","General Hate ","Yes","Yes","2022"
"Rule of Law Radio","Austin","Texas","","","","","2022"
"Ruth Institute","Lake Charles","Louisiana","Ruth Institute","Anti-LGBTQ","Yes","","2022"
"Sacred Truth Publishing & Ministries","Mountain City","Tennessee","","Christian Identity ","Yes","","2022"
"Sarasota County Moms for America","City of Venice","Florida","","","","","2022"
"Sarasota Patriots","Sarasota","Florida","","","","","2022"
"Save California","Sacramento","California","","Anti-LGBTQ","Yes","","2022"
"School of the West","Page","Arizona","","White Nationalist ","Yes","","2022"
"Scott Lively Ministries","Springfield","Massachusetts","","Anti-LGBTQ","Yes","","2022"
"Scott-Townsend Publishers","Washington","District of Columbia","","White Nationalist ","Yes","","2022"
"Scriptures for America Worldwide Ministries","Laporte","Colorado","","Christian Identity ","Yes","","2022"
"Secure Arkansas","Little Rock","Arkansas","","","","","2022"
"Shieldwall Network","Mountain View","Arkansas","","White Nationalist ","Yes","","2022"
"Sicarii 1715","San Diego","California","","General Hate ","Yes","","2022"
"Silver Bear Cafe","Garland","Texas","","","","","2022"
"Silver Shield Xchange","Cleveland","Ohio","","","Yes","","2022"
"Slaves of the Immaculate Heart of Mary","Town of Richmond","New Hampshire","","Radical Traditional Catholicism ","Yes","","2022"
"SoCal Active Club/NorCal Active Club/Central CA Active Club","","California","","White Nationalist ","","Yes","2022"
"Sons of Liberty Media (formerly You Can Run But You Cannot Hide)","Annandale","Minnesota","","General Hate ","Yes","","2022"
"Sons of Liberty Survival Outfitters","Sparta","New Jersey","","","Yes","","2022"
"South Carolina Parents Involved in Education","","South Carolina","","","","Yes","2022"
"South Central Pennsylvania Patriots","York","Pennsylvania","","","Yes","","2022"
"South Dakota Parents Involved in Education","","South Dakota","","","","Yes","2022"
"Southeast Mesa CA","Mesa","Arizona","","","","","2022"
"Southeast Michigan Volunteer Militia","","Michigan","","","","Yes","2022"
"Southern Arizona Militia","","Arizona","","","Yes","Yes","2022"
"Southern Cultural Center","Weogufka","Alabama","","Neo-Confederate","Yes","","2022"
"Southern Ohio Outdoorsmen","Peebles","Ohio","","","","","2022"
"Southern Sons Active Club","","South Carolina","","White Nationalist ","","Yes","2022"
"Sovereign Filing Solutions","Morrow","Georgia","","","Yes","","2022"
"Sovereignty Education and Defense Ministry","San Diego","California","","","Yes","","2022"
"Stand Up America U.S.","Bigfork","Montana","","","Yes","","2022"
"State of Jefferson","Harney County","Oregon","","","","","2022"
"State of Jefferson Formation","Mariposa","California","","","","","2022"
"State of Jefferson Formation","Modesto","California","","","","","2022"
"State of Jefferson Formation","El Dorado County","California","","","","","2022"
"Statewide Common Law Grand Jury","Arcadia","Florida","","","Yes","","2022"
"Stay in the Light Stay in the Fight","Sarasota","Florida","","","Yes","","2022"
"Stedfast Baptist Church","Oklahoma City","Oklahoma","","Anti-LGBTQ","","","2022"
"Stedfast Baptist Church","Fort Worth","Texas","","Anti-LGBTQ","Yes","","2022"
"Stokes County Militia","King","North Carolina","","","Yes","","2022"
"Stormfront","West Palm Beach","Florida","Stormfront","White Nationalist ","Yes","","2022"
"Strong Hold Baptist Church","Norcross","Georgia","","Anti-LGBTQ","Yes","","2022"
"Sunshine State Nationalists","","Florida","","Neo-Nazi","","Yes","2022"
"Super Happy Fun America","Woburn","Massachusetts","","","Yes","","2022"
"Sure Foundation Baptist Church","Spokane Valley","Washington","","Anti-LGBTQ","","","2022"
"Sure Foundation Baptist Church","Vancouver","Washington","","Anti-LGBTQ","Yes","","2022"
"Tea Party of Kentucky","Louisville","Kentucky","","","","","2022"
"Team Law","Grand Junction","Colorado","","","Yes","","2022"
"Tennessee Eagle Forum","Nashville","Tennessee","","","","","2022"
"Tennessee League of the South","","Tennessee","","Neo-Confederate","","Yes","2022"
"Tennessee Parents Involved in Education","","Tennessee","","","","Yes","2022"
"Tenth Amendment Center","Los Angeles","California","","","Yes","","2022"
"Texans for Immigration Reduction and Enforcement","Houston","Texas","","Anti-Immigrant","Yes","","2022"
"Texans4Truth","Georgetown","Texas","","","Yes","","2022"
"Texas Eagle Forum","Dallas","Texas","","","","","2022"
"Texas Freedom Coalition","Flint","Texas","","","Yes","","2022"
"Texas Parents Involved in Education","","Texas","","","","Yes","2022"
"The America Project","Sarasota","Florida","","","Yes","","2022"
"The American State Assembly","Los Angeles","California","","","","","2022"
"The American State Assembly","Monterey","California","","","","","2022"
"The American State Assembly","Santa Cruz","California","","","","","2022"
"The American State Assembly","Ventura","California","","","","","2022"
"The American State Assembly","Mendocino County","California","","","","","2022"
"The American State Assembly","Nevada County","California","","","","","2022"
"The American State Assembly","Orange County","California","","","","","2022"
"The American State Assembly","Stanislaus County","California","","","","","2022"
"The American State Assembly","Jefferson County","Colorado","","","","","2022"
"The American State Assembly","Hamden","Connecticut","","","","","2022"
"The American State Assembly","Atlantic Beach","Florida","","","","","2022"
"The American State Assembly","Pasco County","Florida","","","","","2022"
"The American State Assembly","Lithonia","Georgia","","","","","2022"
"The American State Assembly","Clearwater","Minnesota","","","","","2022"
"The American State Assembly","Alamogordo","New Mexico","","","","","2022"
"The American State Assembly","New York","New York","","","","","2022"
"The American State Assembly","","Indiana","","","","Yes","2022"
"The American State Assembly","","Maine","","","","Yes","2022"
"The American State Assembly","","Massachusetts","","","","Yes","2022"
"The American State Assembly","","Minnesota","","","","Yes","2022"
"The American State Assembly","","Missouri","","","","Yes","2022"
"The American State Assembly","","Nevada","","","","Yes","2022"
"The American State Assembly","","New Hampshire","","","","Yes","2022"
"The American State Assembly","","North Carolina","","","","Yes","2022"
"The American State Assembly","","Oklahoma","","","","Yes","2022"
"The American State Assembly","","Oregon","","","","Yes","2022"
"The American State Assembly","","Pennsylvania","","","","Yes","2022"
"The American State Assembly","","Texas","","","","Yes","2022"
"The American State Assembly","","Utah","","","","Yes","2022"
"The American State Assembly","","Washington","","","","Yes","2022"
"The American State Assembly","","Wisconsin","","","","Yes","2022"
"The Barnes Review","White Plains","Maryland","Barnes Review/Foundation for Economic Liberty, Inc.","Antisemitism","Yes","","2022"
"The Black Sun Tribe Project","","Minnesota","","Neo-Völkisch","Yes","Yes","2022"
"The Brother Nathanael Foundation","Priest River","Idaho","","General Hate ","Yes","","2022"
"The California Assembly","San Francisco","California","","","Yes","","2022"
"The Campus Ministry USA","Terre Haute","Indiana","","Anti-LGBTQ","Yes","","2022"
"The Church of Ben Klassen","Austin","Texas","","Neo-Nazi","","","2022"
"The Church of Ben Klassen","Pittsburgh","Pennsylvania","","Neo-Nazi","Yes","","2022"
"The Colchester Collection","Machias","Maine","","White Nationalist ","Yes","","2022"
"The Constitution Club","Hemet","California","","","","","2022"
"The Creativity Alliance","","Illinois","","Neo-Nazi","Yes","Yes","2022"
"The Daily Stormer","Worthington","Ohio","","Neo-Nazi","Yes","","2022"
"The Dustin Inman Society","Marietta","Georgia","Dustin Inman Society","Anti-Immigrant","Yes","","2022"
"The Fatima Crusader/International Fatima Rosary Crusade","Buffalo","New York","","Radical Traditional Catholicism ","Yes","","2022"
"The Fitzgerald Griffin Foundation","Vienna","Virginia","","White Nationalist ","Yes","","2022"
